date,roles
2023-06-01 17:00,"Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 17:30,"Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 18:00,"Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_3, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 18:30,"Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_3, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 19:00,"Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_3, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 19:30,"Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_3, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 20:00,"Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_3, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 20:30,"Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_3, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 21:00,"Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_3, Aide-serveur_2, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 21:30,"Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_3, Aide-serveur_2, Passe Plat_2, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-01 22:00,"Aide-serveur_4, Passe Plat_3, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5"
2023-06-01 22:30,"Aide-serveur_4, Passe Plat_3, Hôte_2, BS_2, Hôte, Aide-serveur_3, Aide-serveur_5"
2023-06-01 23:00,"Passe Plat_3, Hôte_2, BS_2, Aide-serveur_3, Aide-serveur_5"
2023-06-01 23:30,"Passe Plat_3, Hôte_2, BS_2, Aide-serveur_3, Aide-serveur_5"
2023-06-01 00:00,"Passe Plat_3, Hôte_2, BS_2, Aide-serveur_3, Aide-serveur_5"
2023-06-01 00:30,"Aide-serveur_3, Aide-serveur_5, BS_2"
2023-06-01 01:00,"Aide-serveur_3, Aide-serveur_5, BS_2"
2023-06-02 10:30,"BS, Hôtesse bookenda"
2023-06-02 11:00,"BS, Sur appel | Aide-serveur, Passe Plat, Hôtesse bookenda"
2023-06-02 11:30,"BS, Sur appel | Aide-serveur, Passe Plat, Hôtesse bookenda"
2023-06-02 12:00,"BS, Sur appel | Aide-serveur, Passe Plat, Hôtesse bookenda"
2023-06-02 12:30,"BS, Sur appel | Aide-serveur, Passe Plat, Hôtesse bookenda"
2023-06-02 13:00,"BS, Sur appel | Aide-serveur, Passe Plat, Hôtesse bookenda"
2023-06-02 13:30,"BS, Sur appel | Aide-serveur, Passe Plat, Hôtesse bookenda"
2023-06-02 14:00,"BS, Passe Plat, Hôtesse bookenda"
2023-06-02 14:30,"BS, Passe Plat, Hôtesse bookenda"
2023-06-02 15:00,"BS, Passe Plat, Hôtesse bookenda"
2023-06-02 15:30,"BS, Passe Plat, Hôtesse bookenda"
2023-06-02 16:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, BS_3"
2023-06-02 16:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, BS_3"
2023-06-02 17:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-06-02 17:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-06-02 18:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-06-02 18:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-06-02 19:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-06-02 19:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-06-02 20:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, Aide-serveur_5, BS_3"
2023-06-02 20:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, Aide-serveur_5, BS_3"
2023-06-02 21:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-02 21:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-02 22:00,"Aide-serveur, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-02 22:30,"Aide-serveur, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-02 23:00,"Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, Aide-serveur_5, BS_3"
2023-06-02 23:30,"Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, Aide-serveur_5, BS_3"
2023-06-02 00:00,"Aide-serveur_4, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, Aide-serveur_5, BS_3"
2023-06-02 00:30,"Aide-serveur_5, BS_3"
2023-06-02 01:00,"Aide-serveur_5, BS_3"
2023-06-03 10:30,"BS, Service, Hôtesse bookenda"
2023-06-03 11:00,"Sur appel | Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-03 11:30,"Sur appel | Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-03 12:00,"Sur appel | Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-03 12:30,"Sur appel | Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-03 13:00,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-03 13:30,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-03 14:00,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-03 14:30,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-03 15:00,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Hôtesse bookenda_2, Service_2, Hôtesse bookenda"
2023-06-03 15:30,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Hôtesse bookenda_2, Service_2, Hôtesse bookenda"
2023-06-03 16:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, BS_2, Aide-serveur_3"
2023-06-03 16:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, BS_2, Aide-serveur_3"
2023-06-03 17:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, BS_2, Hôte_2, Service_3, Aide-serveur_3, Sur appel | Aide-serveur_2, Hôte, BS_3"
2023-06-03 17:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, BS_2, Hôte_2, Service_3, Aide-serveur_3, Sur appel | Aide-serveur_2, Hôte, BS_3"
