,time,apparent_temperature_max,apparent_temperature_min,sunset,uv_index_max,rain_sum,showers_sum,snowfall_sum,precipitation_hours
338,2023-07-06,36.8,25.5,20.75,7.5,0.0,0.0,0.0,0.0
339,2023-07-07,31.9,25.0,20.73,6.7,0.0,0.0,0.0,0.0
340,2023-07-08,32.9,23.7,20.73,7.4,0.0,0.0,0.0,0.0
341,2023-07-09,30.2,21.0,20.72,4.9,86.85,0.0,0.0,2.0
342,2023-07-10,25.0,22.0,20.72,3.05,50.55,0.0,0.0,15.0
343,2023-07-11,31.2,21.6,20.7,6.9,58.2,0.0,0.0,7.0
344,2023-07-12,26.3,20.3,20.7,7.35,0.0,0.0,0.0,0.0
345,2023-07-13,30.3,18.9,20.68,6.3,190.2,0.0,0.0,2.0
346,2023-07-14,29.6,17.7,20.68,7.3,0.0,0.0,0.0,0.0
347,2023-07-15,30.8,20.6,20.67,6.9,0.0,0.0,0.0,0.0
348,2023-07-16,32.0,23.4,20.65,6.6,1.2,0.0,0.0,2.0
349,2023-07-17,29.3,21.7,20.63,7.3,0.0,0.0,0.0,0.0
350,2023-07-18,28.9,21.5,20.62,6.45,0.6,0.0,0.0,1.0
351,2023-07-19,26.7,19.4,20.62,7.1,0.0,0.0,0.0,0.0
352,2023-07-20,30.4,17.4,20.6,7.15,0.0,0.0,0.0,0.0
353,2023-07-21,26.4,19.6,20.58,7.05,4.35,0.0,0.0,2.0
354,2023-07-22,24.8,18.4,20.57,5.15,0.0,0.0,0.0,0.0
355,2023-07-23,29.5,17.8,20.55,7.15,0.0,0.0,0.0,0.0
356,2023-07-24,31.9,20.0,20.53,7.05,0.0,0.0,0.0,0.0
357,2023-07-25,29.3,20.8,20.52,7.0,0.0,0.0,0.0,0.0
358,2023-07-26,31.0,22.1,20.5,6.85,0.0,0.0,0.0,0.0
359,2023-07-27,28.3,22.5,20.47,3.55,29.1,0.0,0.0,8.0
360,2023-07-28,30.9,23.4,20.45,7.0,24.9,0.0,0.0,2.0
361,2023-07-29,24.7,15.8,20.43,4.95,1.2,0.0,0.0,2.0
362,2023-07-30,23.8,10.3,20.42,6.9,18.9,0.0,0.0,2.0
363,2023-07-31,23.4,15.1,20.4,6.85,13.65,0.0,0.0,4.0
364,2023-08-01,19.7,10.1,20.37,6.75,0.0,0.0,0.0,0.0
