date,vente
2021-06-17,12462.44
2021-06-16,16020.06
2021-06-15,8190.38
2021-06-14,9943.59
2021-06-13,9698.08
2021-06-12,12929.03
2021-06-11,15455.19
2021-06-10,10727.6
2021-06-09,10256.23
2021-06-08,1458.08
2021-06-07,10984.39
2021-06-06,6235.9
2021-06-05,6106.2
2021-06-04,10387.95
2021-06-03,1985.42
2021-06-02,9824.28
2021-06-01,1346.39
2021-05-31,1501.39
2021-05-30,3467.95
2021-05-29,8035.07
2021-05-28,11215.21
2021-05-27,2153.18
2021-05-26,1658.6
2021-05-25,1482.64
2021-05-24,2000.79
2021-05-23,1875.58
2021-05-22,2768.23
2021-05-21,2936.52
2021-05-20,3125.29
2021-05-19,1767.71
2021-05-18,1766.13
2021-05-17,1321.45
2021-05-16,1560.19
2021-05-15,2111.02
2021-05-14,2476.1
2021-05-13,2556.96
2021-05-12,1725.29
2021-05-11,1222.87
2021-05-10,1050.22
2021-05-09,1394.39
2021-05-08,2254.65
2021-05-07,2480.99
2021-05-06,2045.59
2021-05-05,1647.37
2021-05-04,1127.46
2021-05-03,1110.41
2021-05-02,1210.93
2021-05-01,1986.98
2021-04-30,2330.04
2021-04-29,1942.11
2021-04-28,948.92
2021-04-27,1316.12
2021-04-26,1105.47
2021-04-25,995.57
2021-04-24,1995.04
2021-04-23,2030.95
2021-04-22,1878.77
2021-04-21,1250.05
2021-04-20,636.56
2021-04-19,1168.62
2021-04-18,1119.83
2021-04-17,1183.1
2021-04-16,2545.93
2021-04-15,1452.38
2021-04-14,1253.85
2021-04-13,753.12
2021-04-12,1214.42
2021-04-11,1077.93
2021-04-10,1403.14
2021-04-09,2000.5
2021-04-08,1651.72
2021-04-07,1606.76
2021-04-06,0.0
2021-04-05,2089.26
2021-04-04,1191.2
2021-04-03,1145.91
2021-04-02,1010.47
2021-04-01,2093.04
2021-03-31,1027.57
2021-03-30,1309.84
2021-03-29,539.42
2021-03-28,1133.27
2021-03-27,1472.12
2021-03-26,2442.19
2021-03-25,2019.37
2021-03-24,1318.51
2021-03-23,1388.33
2021-03-22,1093.65
2021-03-21,1395.89
2021-03-20,1712.49
2021-03-19,2112.45
2021-03-18,1191.99
2021-03-17,1127.78
2021-03-16,1217.01
2021-03-15,639.63
2021-03-14,1063.7
2021-03-13,1118.94
2021-03-12,1851.72
2021-03-11,2075.66
2021-03-10,1732.72
2021-03-09,952.42
2021-03-08,871.25
2021-03-07,1215.33
2021-03-06,932.88
2021-03-05,1873.87
2021-03-04,1584.92
2021-03-03,1485.49
2021-03-02,1287.01
2021-03-01,733.82
2021-02-28,1195.13
2021-02-27,991.42
2021-02-26,1719.22
2021-02-25,1397.71
2021-02-24,965.9
2021-02-23,770.94
2021-02-22,706.57
2021-02-21,1165.92
2021-02-20,1332.78
2021-02-19,1510.77
2021-02-18,1220.72
2021-02-17,1107.22
2021-02-16,566.06
2021-02-15,676.6
2021-02-14,1455.82
2021-02-13,1661.77
2021-02-12,1390.78
2021-02-11,1334.49
2021-02-10,1220.82
2021-02-09,347.08
2021-02-08,706.53
2021-02-07,7218.55
2021-02-06,1672.76
2021-02-05,1375.48
2021-02-04,1670.63
2021-02-03,1481.73
2021-02-02,750.07
2021-02-01,0.0
2021-01-31,880.11
2021-01-30,1828.89
2021-01-29,2849.28
2021-01-28,1515.63
2021-01-27,621.29
2021-01-26,806.95
2021-01-25,1169.22
2021-01-24,1166.3
2021-01-23,1385.12
2021-01-22,1987.1
2021-01-21,1235.0
2021-01-20,831.49
2021-01-19,588.88
2021-01-18,822.05
2021-01-17,1225.23
2021-01-16,957.37
2021-01-15,1495.3
2021-01-14,926.53
2021-01-13,1312.32
2021-01-12,746.13
2021-01-11,881.21
2021-01-10,844.38
2021-01-09,741.34
2021-01-08,1093.52
2021-01-07,769.89
2021-01-06,929.87
2021-01-05,817.53
2021-01-04,468.28
2021-01-03,0.0
2021-01-02,0.0
2021-01-01,0.0
2020-12-31,0.0
2020-12-30,0.0
2020-12-29,0.0
2020-12-28,0.0
2020-12-27,0.0
2020-12-26,0.0
2020-12-25,0.0
2020-12-24,0.0
2020-12-23,255.42
2020-12-22,648.09
2020-12-21,819.44
2020-12-20,760.75
2020-12-19,812.66
2020-12-18,1736.37
2020-12-17,3242.37
2020-12-16,1796.39
2020-12-15,783.35
2020-12-14,745.93
2020-12-13,757.34
2020-12-12,743.03
2020-12-11,1861.43
2020-12-10,1547.51
2020-12-09,2076.96
2020-12-08,804.82
2020-12-07,690.97
2020-12-06,410.37
2020-12-05,2859.65
2020-12-04,737.53
2020-12-03,905.95
2020-12-02,961.29
2020-12-01,543.14
2020-11-30,552.46
2020-11-29,856.9
2020-11-28,1143.92
2020-11-27,1051.17
2020-11-26,1088.17
2020-11-25,745.54
2020-11-24,735.43
2020-11-23,378.67
2020-11-22,496.21
2020-11-21,618.78
2020-11-20,1389.43
2020-11-19,908.07
2020-11-18,2081.57
2020-11-17,668.0
2020-11-16,663.2
2020-11-15,468.81
2020-11-14,752.08
2020-11-13,2151.55
2020-11-12,1158.94
2020-11-11,980.45
2020-11-10,619.85
2020-11-09,763.37
2020-11-08,595.35
2020-11-07,663.31
2020-11-06,1663.47
2020-11-05,717.45
2020-11-04,1088.45
2020-11-03,897.82
2020-11-02,403.74
2020-11-01,287.1
2020-10-31,606.56
2020-10-30,1566.44
2020-10-29,1231.44
2020-10-28,767.24
