Total,Plu,Description,Qté_11,Mnt_11,Qté_21,Mnt_21,Qté_31,Mnt_31,Qté_41,Mnt_41,Qté_51,Mnt_51,Qté_12,Mnt_12,Qté_22,Mnt_22,Qté_32,Mnt_32,Qté_42,Mnt_42,Qté_52,Mnt_52,Qté_13,Mnt_13,Qté_23,Mnt_23,Qté_33,Mnt_33,Qté_43,Mnt_43,Qté_53,Mnt_53
"""VIANDE/POULET""","""11050701""","""1/4 PLT CUISSE""",1136.00,14104.72,353.00,4359.36,1391.00,17214.07,2071.00,25525.57,4951.00,61203.72,1834.00,31790.87,591.00,10259.99,3086.00,59608.88,4965.00,98060.12,10476.00,199719.86,1386128.00,5293280.07,355225.00,1656781.38,1344488.00,6335221.82,2308354.00,10519022.63,5394195.00,23804305.90
"""VIANDE/POULET""","""11050702""","""1/4 PLT POITRINE""",2281.00,32707.77,821.00,11645.24,2422.00,34798.94,3677.00,52560.80,9201.00,131712.75,4115.00,64498.64,1412.00,21905.23,5508.00,94407.82,8642.00,150620.92,19677.00,331432.61,1388409.00,5325987.84,356046.00,1668426.62,1346910.00,6370020.76,2312031.00,10571583.43,5403396.00,23936018.65
"""VIANDE/POULET""","""11050703""","""DEMI POULET""",26.00,517.00,5.00,97.15,5.00,103.00,37.00,713.54,73.00,1430.69,4141.00,65015.64,1417.00,22002.38,5513.00,94510.82,8679.00,151334.46,19750.00,332863.30,1388435.00,5326504.84,356051.00,1668523.77,1346915.00,6370123.76,2312068.00,10572296.97,5403469.00,23937449.34
"""VIANDE/POULET""","""11050704""","""DOUBLE CUISSE PLT""",58.00,1039.68,4.00,74.50,29.00,524.00,38.00,664.04,129.00,2302.22,4199.00,66055.32,1421.00,22076.88,5542.00,95034.82,8717.00,151998.50,19879.00,335165.52,1388493.00,5327544.52,356055.00,1668598.27,1346944.00,6370647.76,2312106.00,10572961.01,5403598.00,23939751.56
"""VIANDE/POULET""","""11050864""","""1/2 COTE""",3734.00,87115.76,1242.00,29847.89,6795.00,158697.86,11639.00,269257.50,23410.00,544919.01,7933.00,153171.08,2663.00,51924.77,12337.00,253732.68,20356.00,421256.00,43289.00,880084.53,1392227.00,5414660.28,357297.00,1698446.16,1353739.00,6529345.62,2323745.00,10842218.51,5427008.00,24484670.57
"""VIANDE/POULET""","""11050865""","""COTE ENTIERE""",921.00,28808.66,380.00,12606.15,1602.00,50704.50,3936.00,122779.98,6839.00,214899.29,8854.00,181979.74,3043.00,64530.92,13939.00,304437.18,24292.00,544035.98,50128.00,1094983.82,1393148.00,5443468.94,357677.00,1711052.31,1355341.00,6580050.12,2327681.00,10964998.49,5433847.00,24699569.86
"""VIANDE/POULET""","""11051329""","""STEAK FILET MIGNON""",56.00,2121.80,29.00,1124.45,182.00,6992.44,435.00,16856.51,702.00,27095.20,8910.00,184101.54,3072.00,65655.37,14121.00,311429.62,24727.00,560892.49,50830.00,1122079.02,1393204.00,5445590.74,357706.00,1712176.76,1355523.00,6587042.56,2328116.00,10981855.00,5434549.00,24726665.06
"""VIANDE/POULET""","""11051332""","""COTES LEVEES BOEUF""",131.00,1310.00,2.00,20.00,63.00,630.00,28.00,280.02,224.00,2240.02,9041.00,185411.54,3074.00,65675.37,14184.00,312059.62,24755.00,561172.51,51054.00,1124319.04,1393335.00,5446900.74,357708.00,1712196.76,1355586.00,6587672.56,2328144.00,10982135.02,5434773.00,24728905.08
"""VIANDE/POULET""","""11051333""","""STK FRITES COTE BOEU""",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9041.00,185411.54,3074.00,65675.37,14184.00,312059.62,24755.00,561172.51,51054.00,1124319.04,1393335.00,5446900.74,357708.00,1712196.76,1355586.00,6587672.56,2328144.00,10982135.02,5434773.00,24728905.08
"""VIANDE/POULET""","""11051334""","""STK MOISHES""",2862.00,100338.02,758.00,27375.50,4304.00,153088.28,7089.00,253749.94,15013.00,534551.74,11903.00,285749.56,3832.00,93050.87,18488.00,465147.90,31844.00,814922.45,66067.00,1658870.78,1396197.00,5547238.76,358466.00,1739572.26,1359890.00,6740760.84,2335233.00,11235884.96,5449786.00,25263456.82
"""VIANDE/POULET""","""11051337""","""STEAK FAUX FILET""",1303.00,20306.41,396.00,6127.22,1558.00,24222.13,3325.00,51729.90,6582.00,102385.66,13206.00,306055.97,4228.00,99178.09,20046.00,489370.03,35169.00,866652.35,72649.00,1761256.44,1397500.00,5567545.17,358862.00,1745699.48,1361448.00,6764982.97,2338558.00,11287614.86,5456368.00,25365842.48
"""VIANDE/POULET""","""11051473""","""FILETS PLT MAISON""",7457.00,123657.71,1731.00,29947.88,6572.00,109665.49,11535.00,191740.74,27295.00,455011.82,20663.00,429713.68,5959.00,129125.97,26618.00,599035.52,46704.00,1058393.09,99944.00,2216268.26,1404957.00,5691202.88,360593.00,1775647.36,1368020.00,6874648.46,2350093.00,11479355.60,5483663.00,25820854.30
"""VIN""","""11606690""","""PORTO TAYLOR F""",26.00,194.50,6.00,44.50,9.00,64.25,34.00,244.50,75.00,547.75,26.00,194.50,6.00,44.50,9.00,64.25,34.00,244.50,75.00,547.75,1404983.00,5691397.38,360599.00,1775691.86,1368029.00,6874712.71,2350127.00,11479600.10,5483738.00,25821402.05
"""VIN""","""11607495""","""SELECT PATR BLC 1/2L""",186.00,2274.31,87.00,1069.31,397.00,5723.02,678.00,8338.33,1348.00,17404.97,212.00,2468.81,93.00,1113.81,406.00,5787.27,712.00,8582.83,1423.00,17952.72,1405169.00,5693671.69,360686.00,1776761.17,1368426.00,6880435.73,2350805.00,11487938.43,5485086.00,25838807.02
"""VIN""","""11607496""","""SELECT PATR BLC 9oz""",1509.00,27296.68,549.00,9108.74,3008.00,50014.93,3385.00,57794.09,8451.00,144214.44,1721.00,29765.49,642.00,10222.55,3414.00,55802.20,4097.00,66376.92,9874.00,162167.16,1406678.00,5720968.37,361235.00,1785869.91,1371434.00,6930450.66,2354190.00,11545732.52,5493537.00,25983021.46
"""VIN""","""11607497""","""SELECT PATR BLC 5oz""",3125.00,31740.74,803.00,7784.59,4230.00,41100.69,4720.00,46887.52,12878.00,127513.54,4846.00,61506.23,1445.00,18007.14,7644.00,96902.89,8817.00,113264.44,22752.00,289680.70,1409803.00,5752709.11,362038.00,1793654.50,1375664.00,6971551.35,2358910.00,11592620.04,5506415.00,26110535.00
"""VIN""","""11607498""","""SELECT PATRON 1/2L""",0.00,0.00,2.00,34.68,0.00,0.00,0.00,0.00,2.00,34.68,4846.00,61506.23,1447.00,18041.82,7644.00,96902.89,8817.00,113264.44,22754.00,289715.38,1409803.00,5752709.11,362040.00,1793689.18,1375664.00,6971551.35,2358910.00,11592620.04,5506417.00,26110569.68
"""VIN""","""11607499""","""SELECT PATRON 9oz""",7.00,112.00,4.00,64.00,2.00,32.00,5.00,80.00,18.00,288.00,4853.00,61618.23,1451.00,18105.82,7646.00,96934.89,8822.00,113344.44,22772.00,290003.38,1409810.00,5752821.11,362044.00,1793753.18,1375666.00,6971583.35,2358915.00,11592700.04,5506435.00,26110857.68
"""VIN""","""11607500""","""SELECT PATRON 5oz""",3.00,47.66,5.00,78.91,4.00,63.16,1.00,15.75,13.00,205.48,4856.00,61665.89,1456.00,18184.73,7650.00,96998.05,8823.00,113360.19,22785.00,290208.86,1409813.00,5752868.77,362049.00,1793832.09,1375670.00,6971646.51,2358916.00,11592715.79,5506448.00,26111063.16
"""VIN""","""11607502""","""CHARMES ROSE 250ml""",7.00,70.00,2.00,20.00,9.00,90.00,29.00,290.00,47.00,470.00,4863.00,61735.89,1458.00,18204.73,7659.00,97088.05,8852.00,113650.19,22832.00,290678.86,1409820.00,5752938.77,362051.00,1793852.09,1375679.00,6971736.51,2358945.00,11593005.79,5506495.00,26111533.16
"""VIN""","""11607503""","""CHARMES ROSE 1/2L""",16.00,248.00,8.00,124.00,44.00,682.00,55.00,852.50,123.00,1906.50,4879.00,61983.89,1466.00,18328.73,7703.00,97770.05,8907.00,114502.69,22955.00,292585.36,1409836.00,5753186.77,362059.00,1793976.09,1375723.00,6972418.51,2359000.00,11593858.29,5506618.00,26113439.66
"""VIN""","""11607504""","""ORANGE GROOVE""",24.00,615.11,17.00,437.54,60.00,1488.07,128.00,3215.68,229.00,5756.40,4903.00,62599.00,1483.00,18766.27,7763.00,99258.12,9035.00,117718.37,23184.00,298341.76,1409860.00,5753801.88,362076.00,1794413.63,1375783.00,6973906.58,2359128.00,11597073.97,5506847.00,26119196.06
"""VIN""","""11607507""","""ORANGE GROOVE 150ml""",27.00,222.75,23.00,188.75,46.00,377.50,104.00,852.50,200.00,1641.50,4930.00,62821.75,1506.00,18955.02,7809.00,99635.62,9139.00,118570.87,23384.00,299983.26,1409887.00,5754024.63,362099.00,1794602.38,1375829.00,6974284.08,2359232.00,11597926.47,5507047.00,26120837.56
"""VIN""","""11607571""","""PAS SAGES""",8.00,481.00,0.00,0.00,84.00,5085.00,41.00,2104.05,133.00,7670.05,4938.00,63302.75,1506.00,18955.02,7893.00,104720.62,9180.00,120674.92,23517.00,307653.31,1409895.00,5754505.63,362099.00,1794602.38,1375913.00,6979369.08,2359273.00,11600030.52,5507180.00,26128507.61
"""VIN""","""11607572""","""PAS SAGES 150ml""",55.00,714.25,20.00,250.25,84.00,1094.75,135.00,1657.00,294.00,3716.25,4993.00,64017.00,1526.00,19205.27,7977.00,105815.37,9315.00,122331.92,23811.00,311369.56,1409950.00,5755219.88,362119.00,1794852.63,1375997.00,6980463.83,2359408.00,11601687.52,5507474.00,26132223.86
"""VIN""","""11607573""","""1/4LPAS SAGES""",47.00,1035.25,24.00,510.75,145.00,3005.01,187.00,3502.25,403.00,8053.26,5040.00,65052.25,1550.00,19716.02,8122.00,108820.38,9502.00,125834.17,24214.00,319422.82,1409997.00,5756255.13,362143.00,1795363.38,1376142.00,6983468.84,2359595.00,11605189.77,5507877.00,26140277.12
"""VIN""","""11607574""","""1/2L PAS SAGES""",1.00,17.00,2.00,34.00,8.00,136.00,36.00,639.50,47.00,826.50,5041.00,65069.25,1552.00,19750.02,8130.00,108956.38,9538.00,126473.67,24261.00,320249.32,1409998.00,5756272.13,362145.00,1795397.38,1376150.00,6983604.84,2359631.00,11605829.27,5507924.00,26141103.62
"""VIN""","""11607575""","""CADIRETA Btle""",1.00,60.00,1.00,60.00,18.00,1091.02,18.00,1094.04,38.00,2305.06,5042.00,65129.25,1553.00,19810.02,8148.00,110047.40,9556.00,127567.71,24299.00,322554.38,1409999.00,5756332.13,362146.00,1795457.38,1376168.00,6984695.86,2359649.00,11606923.31,5507962.00,26143408.68
"""VIN""","""11607576""","""CADIRETA 150ml""",16.00,162.04,3.00,36.75,35.00,426.00,43.00,440.85,97.00,1065.64,5058.00,65291.29,1556.00,19846.77,8183.00,110473.40,9599.00,128008.56,24396.00,323620.02,1410015.00,5756494.17,362149.00,1795494.13,1376203.00,6985121.86,2359692.00,11607364.16,5508059.00,26144474.32
"""VIN""","""11607577""","""CADIRETA 1/4L""",17.00,345.00,6.00,123.00,44.00,898.00,41.00,837.50,108.00,2203.50,5075.00,65636.29,1562.00,19969.77,8227.00,111371.40,9640.00,128846.06,24504.00,325823.52,1410032.00,5756839.17,362155.00,1795617.13,1376247.00,6986019.86,2359733.00,11608201.66,5508167.00,26146677.82
"""VIN""","""11607579""","""DRAPPIER PINOT NOIR""",29.00,1186.02,23.00,940.02,84.00,3731.13,85.00,4156.75,221.00,10013.92,5104.00,66822.31,1585.00,20909.79,8311.00,115102.53,9725.00,133002.81,24725.00,335837.44,1410061.00,5758025.19,362178.00,1796557.15,1376331.00,6989750.99,2359818.00,11612358.41,5508388.00,26156691.74
"""VIN""","""11607582""","""DSJ CUV NAT 150ml""",37.00,336.75,11.00,100.25,50.00,460.00,125.00,1133.75,223.00,2030.75,5141.00,67159.06,1596.00,21010.04,8361.00,115562.53,9850.00,134136.56,24948.00,337868.19,1410098.00,5758361.94,362189.00,1796657.40,1376381.00,6990210.99,2359943.00,11613492.16,5508611.00,26158722.49
"""VIN""","""11607583""","""DSJ CUV NAT 250ml""",21.00,309.00,18.00,267.75,78.00,1155.75,161.00,2415.50,278.00,4148.00,5162.00,67468.06,1614.00,21277.79,8439.00,116718.28,10011.00,136552.06,25226.00,342016.19,1410119.00,5758670.94,362207.00,1796925.15,1376459.00,6991366.74,2360104.00,11615907.66,5508889.00,26162870.49
"""VIN""","""11607584""","""DSJ CUV NAT 1/2L""",0.00,0.00,0.00,0.00,2.00,57.50,6.00,172.50,8.00,230.00,5162.00,67468.06,1614.00,21277.79,8441.00,116775.78,10017.00,136724.56,25234.00,342246.19,1410119.00,5758670.94,362207.00,1796925.15,1376461.00,6991424.24,2360110.00,11616080.16,5508897.00,26163100.49
"""VIN""","""11607585""","""DOL.VITA PINOT""",28.00,1316.01,6.00,282.00,124.00,5828.07,80.00,3760.03,238.00,11186.11,5190.00,68784.07,1620.00,21559.79,8565.00,122603.85,10097.00,140484.59,25472.00,353432.30,1410147.00,5759986.95,362213.00,1797207.15,1376585.00,6997252.31,2360190.00,11619840.19,5509135.00,26174286.60
"""VIN""","""11607586""","""DOL.VITA 5oz""",144.00,1404.01,41.00,399.75,223.00,2174.25,209.00,2037.76,617.00,6015.77,5334.00,70188.08,1661.00,21959.54,8788.00,124778.10,10306.00,142522.35,26089.00,359448.07,1410291.00,5761390.96,362254.00,1797606.90,1376808.00,6999426.56,2360399.00,11621877.95,5509752.00,26180302.37
"""VIN""","""11607587""","""DOL.VITA 1/4L""",155.00,2480.00,67.00,1072.00,413.00,6608.00,355.00,5680.00,990.00,15840.00,5489.00,72668.08,1728.00,23031.54,9201.00,131386.10,10661.00,148202.35,27079.00,375288.07,1410446.00,5763870.96,362321.00,1798678.90,1377221.00,7006034.56,2360754.00,11627557.95,5510742.00,26196142.37
"""VIN""","""11607589""","""DON.P CHARDONNAY""",2.00,128.00,1.00,64.00,6.00,384.06,1.00,64.00,10.00,640.06,5491.00,72796.08,1729.00,23095.54,9207.00,131770.16,10662.00,148266.35,27089.00,375928.13,1410448.00,5763998.96,362322.00,1798742.90,1377227.00,7006418.62,2360755.00,11627621.95,5510752.00,26196782.43
"""VIN""","""11607590""","""DON.P CHARD 5oz""",1.00,13.00,2.00,25.00,6.00,78.00,5.00,65.00,14.00,181.00,5492.00,72809.08,1731.00,23120.54,9213.00,131848.16,10667.00,148331.35,27103.00,376109.13,1410449.00,5764011.96,362324.00,1798767.90,1377233.00,7006496.62,2360760.00,11627686.95,5510766.00,26196963.43
"""VIN""","""11607591""","""DON.P CHARD 1/4L""",4.00,86.00,3.00,64.50,9.00,191.75,3.00,64.50,19.00,406.75,5496.00,72895.08,1734.00,23185.04,9222.00,132039.91,10670.00,148395.85,27122.00,376515.88,1410453.00,5764097.96,362327.00,1798832.40,1377242.00,7006688.37,2360763.00,11627751.45,5510785.00,26197370.18
"""VIN""","""11607593""","""DON.P PINOT NOIR""",2.00,68.50,0.00,0.00,4.00,244.00,6.00,366.02,12.00,678.52,5498.00,72963.58,1734.00,23185.04,9226.00,132283.91,10676.00,148761.87,27134.00,377194.40,1410455.00,5764166.46,362327.00,1798832.40,1377246.00,7006932.37,2360769.00,11628117.47,5510797.00,26198048.70
"""VIN""","""11607594""","""DON.P PINOT 5oz""",11.00,137.50,8.00,100.00,18.00,225.00,34.00,425.00,71.00,887.50,5509.00,73101.08,1742.00,23285.04,9244.00,132508.91,10710.00,149186.87,27205.00,378081.90,1410466.00,5764303.96,362335.00,1798932.40,1377264.00,7007157.37,2360803.00,11628542.47,5510868.00,26198936.20
"""VIN""","""11607595""","""DON.P PINOT 1/4L""",624.00,5144.50,246.00,1946.50,960.00,7956.25,1977.00,15967.83,3807.00,31015.08,6133.00,78245.58,1988.00,25231.54,10204.00,140465.16,12687.00,165154.70,31012.00,409096.98,1411090.00,5769448.46,362581.00,1800878.90,1378224.00,7015113.62,2362780.00,11644510.30,5514675.00,26229951.28
"""VIN""","""11607596""","""DON.P PINOT 1/2L""",123.00,642.81,46.00,237.25,223.00,1151.50,361.00,1866.51,753.00,3898.07,6256.00,78888.39,2034.00,25468.79,10427.00,141616.66,13048.00,167021.21,31765.00,412995.05,1411213.00,5770091.27,362627.00,1801116.15,1378447.00,7016265.12,2363141.00,11646376.81,5515428.00,26233849.35
"""VIN""","""11607623""","""ORPAILLEUR 150ml""",15.00,217.50,25.00,362.50,13.00,188.50,22.00,319.00,75.00,1087.50,6271.00,79105.89,2059.00,25831.29,10440.00,141805.16,13070.00,167340.21,31840.00,414082.55,1411228.00,5770308.77,362652.00,1801478.65,1378460.00,7016453.62,2363163.00,11646695.81,5515503.00,26234936.85
"""VIN""","""11607624""","""ORPAILLEUR 1/4L""",0.00,0.00,0.00,0.00,2.00,49.00,0.00,0.00,2.00,49.00,6271.00,79105.89,2059.00,25831.29,10442.00,141854.16,13070.00,167340.21,31842.00,414131.55,1411228.00,5770308.77,362652.00,1801478.65,1378462.00,7016502.62,2363163.00,11646695.81,5515505.00,26234985.85
"""VIN""","""11607629""","""MALAGAR 150ml""",10.00,140.00,1.00,14.00,7.00,98.00,21.00,294.00,39.00,546.00,6281.00,79245.89,2060.00,25845.29,10449.00,141952.16,13091.00,167634.21,31881.00,414677.55,1411238.00,5770448.77,362653.00,1801492.65,1378469.00,7016600.62,2363184.00,11646989.81,5515544.00,26235531.85
"""VIN""","""11607630""","""MALAGAR 1/4L""",12.00,282.00,2.00,46.50,22.00,517.00,26.00,610.00,62.00,1455.50,6293.00,79527.89,2062.00,25891.79,10471.00,142469.16,13117.00,168244.21,31943.00,416133.05,1411250.00,5770730.77,362655.00,1801539.15,1378491.00,7017117.62,2363210.00,11647599.81,5515606.00,26236987.35
"""VIN""","""11607632""","""DSJ RSV RGE 150ml""",3.00,26.75,3.00,26.75,0.00,0.00,16.00,142.75,22.00,196.25,6296.00,79554.64,2065.00,25918.54,10471.00,142469.16,13133.00,168386.96,31965.00,416329.30,1411253.00,5770757.52,362658.00,1801565.90,1378491.00,7017117.62,2363226.00,11647742.56,5515628.00,26237183.60
"""VIN""","""11607635""","""SANCERRE 150ml""",20.00,355.25,4.00,70.00,34.00,603.75,21.00,371.00,79.00,1400.00,6316.00,79909.89,2069.00,25988.54,10505.00,143072.91,13154.00,168757.96,32044.00,417729.30,1411273.00,5771112.77,362662.00,1801635.90,1378525.00,7017721.37,2363247.00,11648113.56,5515707.00,26238583.60
"""VIN""","""11607636""","""SANCERRE 1/4L""",15.00,445.00,10.00,295.00,44.00,1308.00,43.00,1276.00,112.00,3324.00,6331.00,80354.89,2079.00,26283.54,10549.00,144380.91,13197.00,170033.96,32156.00,421053.30,1411288.00,5771557.77,362672.00,1801930.90,1378569.00,7019029.37,2363290.00,11649389.56,5515819.00,26241907.60
"""VIN""","""11607641""","""VILLA ROSA 150ml""",83.00,843.25,43.00,437.75,140.00,1440.52,181.00,1828.75,447.00,4550.27,6414.00,81198.14,2122.00,26721.29,10689.00,145821.43,13378.00,171862.71,32603.00,425603.57,1411371.00,5772401.02,362715.00,1802368.65,1378709.00,7020469.89,2363471.00,11651218.31,5516266.00,26246457.87
"""VIN""","""11607642""","""VILLA ROSE 1/4L""",100.00,1798.05,59.00,992.00,204.00,3547.75,254.00,4493.28,617.00,10831.08,6514.00,82996.19,2181.00,27713.29,10893.00,149369.18,13632.00,176355.99,33220.00,436434.65,1411471.00,5774199.07,362774.00,1803360.65,1378913.00,7024017.64,2363725.00,11655711.59,5516883.00,26257288.95
"""VIN""","""11607647""","""VENETIE""",110.00,5192.13,45.00,1863.00,430.00,20302.45,266.00,12619.21,851.00,39976.79,6624.00,88188.32,2226.00,29576.29,11323.00,169671.63,13898.00,188975.20,34071.00,476411.44,1411581.00,5779391.20,362819.00,1805223.65,1379343.00,7044320.09,2363991.00,11668330.80,5517734.00,26297265.74
"""VIN""","""11607648""","""VENETIE 150ml""",495.00,4748.50,111.00,1074.25,694.00,6672.75,642.00,6132.25,1942.00,18627.75,7119.00,92936.82,2337.00,30650.54,12017.00,176344.38,14540.00,195107.45,36013.00,495039.19,1412076.00,5784139.70,362930.00,1806297.90,1380037.00,7050992.84,2364633.00,11674463.05,5519676.00,26315893.49
"""VIN""","""11607649""","""VENETIE 1/4l""",574.00,9217.50,223.00,3601.00,1434.00,22894.04,1106.00,17377.52,3337.00,53090.06,7693.00,102154.32,2560.00,34251.54,13451.00,199238.42,15646.00,212484.97,39350.00,548129.25,1412650.00,5793357.20,363153.00,1809898.90,1381471.00,7073886.88,2365739.00,11691840.57,5523013.00,26368983.55
"""VIN""","""11607652""","""SANCERRE""",22.00,1859.00,5.00,436.00,86.00,6873.06,48.00,3695.00,161.00,12863.06,7715.00,104013.32,2565.00,34687.54,13537.00,206111.48,15694.00,216179.97,39511.00,560992.31,1412672.00,5795216.20,363158.00,1810334.90,1381557.00,7080759.94,2365787.00,11695535.57,5523174.00,26381846.61
"""VIN""","""11607653""","""ABRUZZO""",132.00,7414.00,2.00,112.00,209.00,11838.04,206.00,11721.26,549.00,31085.30,7847.00,111427.32,2567.00,34799.54,13746.00,217949.52,15900.00,227901.23,40060.00,592077.61,1412804.00,5802630.20,363160.00,1810446.90,1381766.00,7092597.98,2365993.00,11707256.83,5523723.00,26412931.91
"""VIN""","""11607654""","""ABRUZZO 150ml""",111.00,1278.50,41.00,473.01,213.00,2444.75,278.00,3201.50,643.00,7397.76,7958.00,112705.82,2608.00,35272.55,13959.00,220394.27,16178.00,231102.73,40703.00,599475.37,1412915.00,5803908.70,363201.00,1810919.91,1381979.00,7095042.73,2366271.00,11710458.33,5524366.00,26420329.67
"""VIN""","""11607655""","""ABRUZZO 1/4L""",161.00,3050.75,59.00,1126.00,526.00,10292.75,497.00,9881.00,1243.00,24350.50,8119.00,115756.57,2667.00,36398.55,14485.00,230687.02,16675.00,240983.73,41946.00,623825.87,1413076.00,5806959.45,363260.00,1812045.91,1382505.00,7105335.48,2366768.00,11720339.33,5525609.00,26444680.17
"""VIN""","""11607656""","""ABRUZZO 1/2L""",0.00,0.00,0.00,0.00,0.00,0.00,2.00,73.00,2.00,73.00,8119.00,115756.57,2667.00,36398.55,14485.00,230687.02,16677.00,241056.73,41948.00,623898.87,1413076.00,5806959.45,363260.00,1812045.91,1382505.00,7105335.48,2366770.00,11720412.33,5525611.00,26444753.17
"""VIN""","""11607657""","""VILLA ROSA""",24.00,1190.00,12.00,618.00,96.00,4701.09,86.00,4208.01,218.00,10717.10,8143.00,116946.57,2679.00,37016.55,14581.00,235388.11,16763.00,245264.74,42166.00,634615.97,1413100.00,5808149.45,363272.00,1812663.91,1382601.00,7110036.57,2366856.00,11724620.34,5525829.00,26455470.27
"""VIN""","""11607658""","""BLANC DE BLANCS""",2.00,108.00,1.00,54.00,10.00,546.00,11.00,630.00,24.00,1338.00,8145.00,117054.57,2680.00,37070.55,14591.00,235934.11,16774.00,245894.74,42190.00,635953.97,1413102.00,5808257.45,363273.00,1812717.91,1382611.00,7110582.57,2366867.00,11725250.34,5525853.00,26456808.27
"""VIN""","""11607659""","""CHATEAU BEAUCHENE""",92.00,5769.00,17.00,1074.00,206.00,12983.08,180.00,11292.08,495.00,31118.16,8237.00,122823.57,2697.00,38144.55,14797.00,248917.19,16954.00,257186.82,42685.00,667072.13,1413194.00,5814026.45,363290.00,1813791.91,1382817.00,7123565.65,2367047.00,11736542.42,5526348.00,26487926.43
"""VIN""","""11607660""","""CHATEAU MALAGAR""",8.00,536.00,9.00,617.00,55.00,3775.00,46.00,3150.00,118.00,8078.00,8245.00,123359.57,2706.00,38761.55,14852.00,252692.19,17000.00,260336.82,42803.00,675150.13,1413202.00,5814562.45,363299.00,1814408.91,1382872.00,7127340.65,2367093.00,11739692.42,5526466.00,26496004.43
"""VIN""","""11607662""","""TENUTE VARVARI""",53.00,2561.00,31.00,1014.00,121.00,5838.14,136.00,6549.04,341.00,15962.18,8298.00,125920.57,2737.00,39775.55,14973.00,258530.33,17136.00,266885.86,43144.00,691112.31,1413255.00,5817123.45,363330.00,1815422.91,1382993.00,7133178.79,2367229.00,11746241.46,5526807.00,26511966.61
"""VIN""","""11607663""","""TENUTE VARVARI 150ml""",74.00,731.00,18.00,179.50,150.00,1476.50,216.00,2127.00,458.00,4514.00,8372.00,126651.57,2755.00,39955.05,15123.00,260006.83,17352.00,269012.86,43602.00,695626.31,1413329.00,5817854.45,363348.00,1815602.41,1383143.00,7134655.29,2367445.00,11748368.46,5527265.00,26516480.61
"""VIN""","""11607664""","""TENUTE VARVARI 250ml""",120.00,1933.00,57.00,933.50,270.00,4389.01,304.00,4898.00,751.00,12153.51,8492.00,128584.57,2812.00,40888.55,15393.00,264395.84,17656.00,273910.86,44353.00,707779.82,1413449.00,5819787.45,363405.00,1816535.91,1383413.00,7139044.30,2367749.00,11753266.46,5528016.00,26528634.12
"""VIN""","""11607667""","""150ml CHAT BEAUCHENE""",131.00,1659.50,37.00,483.25,249.00,3244.76,383.00,5056.51,800.00,10444.02,8623.00,130244.07,2849.00,41371.80,15642.00,267640.60,18039.00,278967.37,45153.00,718223.84,1413580.00,5821446.95,363442.00,1817019.16,1383662.00,7142289.06,2368132.00,11758322.97,5528816.00,26539078.14
"""VIN""","""11607668""","""1/4L CHAT BEAUCHENE""",170.00,3575.00,52.00,1118.00,465.00,9918.00,567.00,11921.00,1254.00,26532.00,8793.00,133819.07,2901.00,42489.80,16107.00,277558.60,18606.00,290888.37,46407.00,744755.84,1413750.00,5825021.95,363494.00,1818137.16,1384127.00,7152207.06,2368699.00,11770243.97,5530070.00,26565610.14
"""VIN""","""11607669""","""1/2L CHAT BEAUCHENE""",134.00,3634.94,8.00,216.00,213.00,5800.62,238.00,6415.05,593.00,16066.61,8927.00,137454.01,2909.00,42705.80,16320.00,283359.22,18844.00,297303.42,47000.00,760822.45,1413884.00,5828656.89,363502.00,1818353.16,1384340.00,7158007.68,2368937.00,11776659.02,5530663.00,26581676.75
"""VIN""","""11607673""","""INNISK P/G 5oz""",26.00,269.00,4.00,41.00,34.00,353.25,55.00,570.50,119.00,1233.75,8953.00,137723.01,2913.00,42746.80,16354.00,283712.47,18899.00,297873.92,47119.00,762056.20,1413910.00,5828925.89,363506.00,1818394.16,1384374.00,7158360.93,2368992.00,11777229.52,5530782.00,26582910.50
"""VIN""","""11607674""","""INNISK P/G 9oz""",60.00,1011.50,12.00,202.00,80.00,1351.00,76.00,1279.75,228.00,3844.25,9013.00,138734.51,2925.00,42948.80,16434.00,285063.47,18975.00,299153.67,47347.00,765900.45,1413970.00,5829937.39,363518.00,1818596.16,1384454.00,7159711.93,2369068.00,11778509.27,5531010.00,26586754.75
"""VIN""","""11607675""","""INNISK P/G 500ml""",0.00,0.00,0.00,0.00,1.00,34.00,0.00,0.00,1.00,34.00,9013.00,138734.51,2925.00,42948.80,16435.00,285097.47,18975.00,299153.67,47348.00,765934.45,1413970.00,5829937.39,363518.00,1818596.16,1384455.00,7159745.93,2369068.00,11778509.27,5531011.00,26586788.75
"""VIN""","""11607676""","""OPEN CHARD 5oz""",36.00,374.00,11.00,114.00,37.00,383.25,34.00,352.75,118.00,1224.00,9049.00,139108.51,2936.00,43062.80,16472.00,285480.72,19009.00,299506.42,47466.00,767158.45,1414006.00,5830311.39,363529.00,1818710.16,1384492.00,7160129.18,2369102.00,11778862.02,5531129.00,26588012.75
"""VIN""","""11607677""","""OPEN CHARD 9oz""",37.00,624.50,5.00,84.25,50.00,847.00,57.00,962.00,149.00,2517.75,9086.00,139733.01,2941.00,43147.05,16522.00,286327.72,19066.00,300468.42,47615.00,769676.20,1414043.00,5830935.89,363534.00,1818794.41,1384542.00,7160976.18,2369159.00,11779824.02,5531278.00,26590530.50
