Total,Plu,Description,Qté_11,Mnt_11,Qté_21,Mnt_21,Qté_31,Mnt_31,Qté_41,Mnt_41,Qté_51,Mnt_51,Qté_12,Mnt_12,Qté_22,Mnt_22,Qté_32,Mnt_32,Qté_42,Mnt_42,Qté_52,Mnt_52,Qté_13,Mnt_13,Qté_23,Mnt_23,Qté_33,Mnt_33,Qté_43,Mnt_43,Qté_53,Mnt_53
"""PROMO BIERE FUT""","""11535823""","""BUD LIGHT TEST""",0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3641.00,30857.09,963.00,8011.50,11274.00,91518.32,6603.00,60635.11,22481.00,191022.02,718367.00,4148084.10,192773.00,1371770.96,679587.00,4922000.99,1143619.00,8164317.55,2734346.00,18606173.60
"""PROMO BIERE FUT""","""11535827""","""GOOSE IPA TEST""",4.00,0.00,2.00,0.00,13.00,0.00,15.00,0.00,34.00,0.00,3645.00,30857.09,965.00,8011.50,11287.00,91518.32,6618.00,60635.11,22515.00,191022.02,718371.00,4148084.10,192775.00,1371770.96,679600.00,4922000.99,1143634.00,8164317.55,2734380.00,18606173.60
"""PROMO BIERE FUT""","""11535828""","""HOEGAARDEN TEST""",1.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00,6.00,0.00,3646.00,30857.09,965.00,8011.50,11289.00,91518.32,6621.00,60635.11,22521.00,191022.02,718372.00,4148084.10,192775.00,1371770.96,679602.00,4922000.99,1143637.00,8164317.55,2734386.00,18606173.60
"""PROMO BIERE FUT""","""11535868""","""DESIREE 18oz*""",0.00,0.00,0.00,0.00,204.00,1349.25,0.00,0.00,204.00,1349.25,3646.00,30857.09,965.00,8011.50,11493.00,92867.57,6621.00,60635.11,22725.00,192371.27,718372.00,4148084.10,192775.00,1371770.96,679806.00,4923350.24,1143637.00,8164317.55,2734590.00,18607522.85
"""PROMO BIERE FUT""","""11535871""","""CIBOIRE 18oz*""",0.00,0.00,0.00,0.00,691.00,4905.50,0.00,0.00,691.00,4905.50,3646.00,30857.09,965.00,8011.50,12184.00,97773.07,6621.00,60635.11,23416.00,197276.77,718372.00,4148084.10,192775.00,1371770.96,680497.00,4928255.74,1143637.00,8164317.55,2735281.00,18612428.35
"""PROMO BIERE FUT""","""11535877""","""BELLE MER 18oz*""",0.00,0.00,0.00,0.00,169.00,1170.50,0.00,0.00,169.00,1170.50,3646.00,30857.09,965.00,8011.50,12353.00,98943.57,6621.00,60635.11,23585.00,198447.27,718372.00,4148084.10,192775.00,1371770.96,680666.00,4929426.24,1143637.00,8164317.55,2735450.00,18613598.85
"""PROMO BIERE FUT""","""11535930""","""HOEGAARDEN PINTE*""",0.00,0.00,0.00,0.00,6.00,49.50,0.00,0.00,6.00,49.50,3646.00,30857.09,965.00,8011.50,12359.00,98993.07,6621.00,60635.11,23591.00,198496.77,718372.00,4148084.10,192775.00,1371770.96,680672.00,4929475.74,1143637.00,8164317.55,2735456.00,18613648.35
"""PROMO BIERE FUT""","""11535954""","""BUD LIGHT PINTE*""",0.00,0.00,0.00,0.00,16.00,108.00,0.00,0.00,16.00,108.00,3646.00,30857.09,965.00,8011.50,12375.00,99101.07,6621.00,60635.11,23607.00,198604.77,718372.00,4148084.10,192775.00,1371770.96,680688.00,4929583.74,1143637.00,8164317.55,2735472.00,18613756.35
"""PROMO BIERE FUT""","""11535960""","""LABATT 50 PINTE*""",0.00,0.00,0.00,0.00,6.00,43.50,0.00,0.00,6.00,43.50,3646.00,30857.09,965.00,8011.50,12381.00,99144.57,6621.00,60635.11,23613.00,198648.27,718372.00,4148084.10,192775.00,1371770.96,680694.00,4929627.24,1143637.00,8164317.55,2735478.00,18613799.85
"""PROMO BIERE FUT""","""11535961""","""LA JOUFFLUE PINTE*""",0.00,0.00,0.00,0.00,153.00,1109.26,0.00,0.00,153.00,1109.26,3646.00,30857.09,965.00,8011.50,12534.00,100253.83,6621.00,60635.11,23766.00,199757.53,718372.00,4148084.10,192775.00,1371770.96,680847.00,4930736.50,1143637.00,8164317.55,2735631.00,18614909.11
